,image_6738,image_7641,image_3320,image_7529,image_7336,image_694,image_5517,image_4470,image_429,image_1515,image_1732,image_1370,image_1189,image_5109,image_5532,image_4202,image_2880,image_461,image_7638,image_9426,image_2066,image_6968,image_3466,image_9943,image_6862,image_7682
image_6738,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7641,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3320,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
image_7529,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
image_7336,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
image_694,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
image_5517,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
image_4470,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,3
image_429,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1515,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1732,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1370,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1189,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5109,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_4202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_2880,0,0,4,4,4,3,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2
image_461,0,0,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2
image_7638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_9426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_6968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_9943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_6862,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0
image_7682,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4
