,image_8401,image_9648,image_8931,image_4874,image_3364,image_4611,image_1449,image_2339,image_2710,image_4940,image_1542,image_5859,image_8950,image_7949,image_9553
image_8401,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0
image_9648,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0
image_8931,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4874,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0
image_3364,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_4611,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_1449,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_2339,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_2710,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_4940,4,3,0,4,0,0,0,0,0,4,0,0,0,0,0
image_1542,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_5859,4,3,0,4,0,0,0,0,0,0,0,4,0,0,0
image_8950,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_7949,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
