article_number,image number,alt,article_heading
1,1,Makeup Tips,Follow these home remedies to remove dry patches on the face learn the right way to blend makeup
2,1,How to take care of hair,Are you troubled by falling hair? Know the effective way to thicken them
3,1,Rosemary Oil Hair Mask At Home,Rosemary hair oil mask makes hair thick and strong prepare it at home like this
4,1,Don't make this mistake while applying mascara,Don't make this mistake while applying kajal just try these tips people will keep looking at your beautiful eyes
5,1,Recipe to remove facial pigmentation,Skin Pigmentation: If you are struggling with any kind of pigmentation on your face then apply this special face pack
6,1,Face packs made from raw milk,These 5 face packs made from raw milk will brighten your face apply them before bathing
7,1,lipstick shades to look attractive,These trading shades of lipstick enhance the beauty of the face makeup is incomplete without them
8,1,What is the right way to wash your face,How to wash your face to get a glow know the right way to get a natural glow
9,1,hairstyle mistakes,These are the 3 mistakes related to hairstyles due to which you look older than your age
10,1,Eyeliner reveals your personality,Find out your personality through eyeliner know what your personality says
