,image_8594,image_3365,image_2900,image_1421,image_6310,image_8777,image_7995,image_5113,image_2249,image_7861,image_3117,image_7854,image_1734,image_7228,image_5538,image_1963,image_2101,image_8226,image_4083
image_8594,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3365,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2900,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1421,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0
image_6310,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
image_8777,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0
image_7995,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
image_5113,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
image_2249,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0
image_7861,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3117,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_7854,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_1734,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_7228,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_5538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1
image_1963,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
image_8226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
image_4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
