,image_7515,image_6981,image_9807,image_2850,image_3139,image_5606,image_5985,image_4610,image_4355,image_1937,image_4773,image_6945
image_7515,4,4,0,0,0,0,0,0,0,0,0,0
image_6981,4,4,0,0,0,0,1,0,0,0,0,0
image_9807,0,0,4,0,0,0,0,0,0,0,0,0
image_2850,0,0,0,4,0,0,0,0,0,0,0,0
image_3139,0,0,0,0,4,0,0,0,0,0,0,0
image_5606,0,0,0,0,0,4,0,0,0,0,0,0
image_5985,0,1,0,0,0,0,4,0,1,2,2,2
image_4610,0,0,0,0,0,0,0,4,0,0,0,0
image_4355,0,0,0,0,0,0,1,0,4,0,0,0
image_1937,0,0,0,0,0,0,2,0,0,4,1,0
image_4773,0,0,0,0,0,0,2,0,0,1,4,0
image_6945,0,0,0,0,0,0,2,0,0,0,0,4
