,image_2265,image_8155,image_4519,image_1463,image_5030,image_4161,image_6144,image_1770,image_9048,image_1837,image_3451,image_3138,image_5418,image_8774,image_620,image_8300,image_2085,image_4873
image_2265,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8155,0,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
image_4519,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1463,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5030,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4161,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_6144,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_1770,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_9048,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_1837,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
image_3451,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_3138,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_5418,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8774,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_8300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
image_2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
