,image_9193,image_7654,image_2983,image_3508,image_3925,image_2059,image_3463,image_2471,image_3336,image_7959,image_1238,image_2663,image_4109
image_9193,4,0,0,0,0,0,0,0,0,0,0,0,0
image_7654,0,4,0,0,0,0,0,0,0,0,0,0,0
image_2983,0,0,4,0,1,1,0,0,0,0,0,1,0
image_3508,0,0,0,4,2,2,0,0,0,0,0,1,0
image_3925,0,0,1,2,4,3,2,0,2,2,0,3,0
image_2059,0,0,1,2,3,4,1,0,2,1,0,3,0
image_3463,0,0,0,0,2,1,4,0,2,0,2,0,0
image_2471,0,0,0,0,0,0,0,4,0,0,0,0,0
image_3336,0,0,0,0,2,2,2,0,4,1,0,0,0
image_7959,0,0,0,0,2,1,0,0,1,4,0,0,0
image_1238,0,0,0,0,0,0,2,0,0,0,4,0,0
image_2663,0,0,1,1,3,3,0,0,0,0,0,4,0
image_4109,0,0,0,0,0,0,0,0,0,0,0,0,4
