,image_2238,image_5404,image_2585,image_3056,image_238,image_3338,image_9085,image_1535,image_9496,image_9592,image_6296,image_2355,image_293,image_5203,image_8819
image_2238,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5404,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2585,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3056,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_238,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3338,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9085,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1535,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_9496,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_9592,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_6296,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_2355,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_293,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_5203,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_8819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
