,image_7274,image_7480,image_2039,image_2644,image_179,image_9759,image_5491,image_9081,image_3212,image_4594,image_2732,image_4525,image_4812
image_7274,4,1,1,1,1,1,1,1,1,1,1,1,1
image_7480,1,4,0,0,0,0,0,0,0,0,0,0,0
image_2039,1,0,4,0,0,0,0,0,0,0,0,0,0
image_2644,1,0,0,4,0,3,0,0,0,0,0,0,0
image_179,1,0,0,0,4,3,0,0,0,0,0,0,0
image_9759,1,0,0,3,3,4,0,0,0,0,0,0,0
image_5491,1,0,0,0,0,0,4,0,0,0,0,0,0
image_9081,1,0,0,0,0,0,0,4,0,0,0,0,0
image_3212,1,0,0,0,0,0,0,0,4,0,0,0,0
image_4594,1,0,0,0,0,0,0,0,0,4,0,0,0
image_2732,1,0,0,0,0,0,0,0,0,0,4,0,0
image_4525,1,0,0,0,0,0,0,0,0,0,0,4,0
image_4812,1,0,0,0,0,0,0,0,0,0,0,0,4
