,image_7731,image_4102,image_8108,image_4412,image_6084,image_1322,image_3416,image_4452,image_2797,image_9422,image_4029,image_5418,image_9773,image_4080,image_7079,image_8269,image_4935,image_9930,image_3075
image_7731,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
image_4102,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8108,0,0,4,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0
image_4412,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6084,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1322,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3416,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0
image_4452,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
image_2797,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
image_9422,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_4029,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0
image_5418,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
image_9773,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_4080,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
image_7079,0,0,3,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0
image_8269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_9930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
