,image_4228,image_3686,image_714,image_4990,image_6615,image_3930,image_7383,image_1794,image_8360,image_9726,image_1210,image_476,image_3591,image_7624,image_4267,image_1023,image_3947,image_5448,image_963,image_4516,image_2864,image_8024,image_5585
image_4228,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_3686,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_714,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_4990,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_6615,1,2,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,2,2,1
image_3930,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7383,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1794,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8360,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9726,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_476,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_3591,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0
image_7624,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_4267,2,2,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1023,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,1,0,1,1,0
image_3947,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,1,0,1,1,0
image_5448,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_963,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2
image_2864,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_8024,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_5585,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,4
