,image_6025,image_7283,image_6766,image_4924,image_2345,image_8727,image_2107,image_6771,image_985,image_4258,image_5214,image_6922
image_6025,4,0,0,0,0,0,0,0,0,0,0,0
image_7283,0,4,0,0,0,0,0,0,0,0,0,0
image_6766,0,0,4,2,2,1,2,4,0,2,0,0
image_4924,0,0,2,4,3,0,0,2,0,0,0,0
image_2345,0,0,2,3,4,0,0,1,0,0,3,0
image_8727,0,0,1,0,0,4,0,0,0,0,1,0
image_2107,0,0,2,0,0,0,4,2,0,4,0,0
image_6771,0,0,4,2,1,0,2,4,0,2,0,0
image_985,0,0,0,0,0,0,0,0,4,0,0,0
image_4258,0,0,2,0,0,0,4,2,0,4,0,0
image_5214,0,0,0,0,3,1,0,0,0,0,4,0
image_6922,0,0,0,0,0,0,0,0,0,0,0,4
