,image_3436,image_1760,image_8414,image_1232,image_7838,image_496,image_8399,image_232,image_5198,image_7579,image_3658,image_8313,image_1255,image_8854,image_5060,image_3959,image_1309,image_40,image_7768,image_9294,image_493,image_5712
image_3436,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
image_1760,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
image_8414,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
image_1232,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
image_7838,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_496,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8399,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_232,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5198,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7579,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3658,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_8313,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0
image_1255,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_8854,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_5060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_1309,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
image_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_7768,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
image_9294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
