,image_6088,image_8401,image_2177,image_7999,image_7786,image_4495,image_9527,image_5243,image_5358,image_2867,image_4157,image_6437,image_3558,image_639,image_1171,image_3520,image_9636
image_6088,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
image_8401,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2177,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7999,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7786,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4495,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_9527,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_5243,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_5358,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
image_2867,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
image_4157,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
image_6437,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
image_3558,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
image_639,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_1171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
image_3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
