,image_6377,image_6194,image_1563,image_9265,image_6255,image_8890,image_390,image_9489,image_3870,image_2223,image_1857,image_4480,image_4590,image_6048
image_6377,4,0,4,0,0,0,0,0,0,0,0,0,0,0
image_6194,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_1563,4,0,4,0,0,0,0,0,0,0,0,0,0,0
image_9265,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_6255,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_8890,0,0,0,0,0,4,0,0,4,4,4,0,0,0
image_390,0,0,0,0,0,0,4,4,0,0,0,2,2,4
image_9489,0,0,0,0,0,0,4,4,0,0,0,2,2,4
image_3870,0,0,0,0,0,4,0,0,4,3,2,0,0,0
image_2223,0,0,0,0,0,4,0,0,3,4,0,0,0,0
image_1857,0,0,0,0,0,4,0,0,2,0,4,0,0,0
image_4480,0,0,0,0,0,0,2,2,0,0,0,4,4,2
image_4590,0,0,0,0,0,0,2,2,0,0,0,4,4,0
image_6048,0,0,0,0,0,0,4,4,0,0,0,2,0,4
