article_number,image number,alt,article_heading
1,1,no alt,'I've had no sugar or ultra-processed food for nine months - now I've got a big problem'
2,1,no alt,The things people say when I tell them I don’t drink (and how to respond)
3,1,no alt,Country pub of the week: Jeremy Clarkson's the Farmer's Dog Cotswolds
4,1,no alt,Our favourite foodie Christmas gifts under £30
5,1,no alt,Why are so many companies withdrawing vegan products?
6,1,no alt,8 best anti-inflammatory foods to add to your diet
7,1,no alt,I stopped drinking for six months – five reasons why it’s one of the best things I’ve ever done
8,1,no alt,The unsung Spanish city where a glass of wine costs £1
9,1,no alt,I’m 54 with a 35-year-old body. It all started because I gave up drinking
10,1,no alt,20 low-calorie high-protein foods
