,image_1081,image_2416,image_3138,image_9520,image_3932,image_8671,image_5580,image_5691,image_7004,image_1742,image_6654,image_6226,image_5356,image_9315,image_7164,image_7042,image_9877
image_1081,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
image_2416,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3138,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
image_9520,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0
image_3932,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
image_8671,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
image_5580,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0
image_5691,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4,0
image_7004,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1742,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0
image_6654,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
image_6226,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0
image_5356,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
image_9315,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0
image_7164,0,0,2,0,0,0,2,2,0,2,0,0,0,0,4,0,0
image_7042,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,4,0
image_9877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
