,image_1637,image_7990,image_2012,image_2204,image_5953,image_8885,image_2549,image_5994,image_4486,image_4955,image_1644,image_1168,image_8668,image_5960,image_3000
image_1637,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7990,0,4,0,0,0,2,2,2,3,0,0,0,0,0,0
image_2012,0,0,4,0,0,3,3,1,3,0,0,0,0,0,0
image_2204,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_5953,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_8885,0,2,3,0,0,4,0,0,0,0,0,0,0,0,0
image_2549,0,2,3,0,0,0,4,0,0,0,3,0,0,0,0
image_5994,0,2,1,0,0,0,0,4,0,0,1,0,0,0,0
image_4486,0,3,3,0,0,0,0,0,4,0,2,0,0,0,0
image_4955,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_1644,0,0,0,0,0,0,3,1,2,0,4,0,0,0,0
image_1168,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_8668,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_5960,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
image_3000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
