article_number,image number,alt,article_heading
1,1,"Ukraine-Russia War Today's News. Zelensky: ""Yes to Peace but We Will Not Give Up Land to Russia. We Will Bring the 'Victory Plan' to Ramstein""","Ukraine-Russia War Today's News. Zelensky: ""Yes to Peace but We Will Not Give Up Land to Russia. We Will Bring the 'Victory Plan' to Ramstein"""
2,1,,"Israel-Lebanon War Today's News. Netanyahu: ""Our Right to Respond to Iran and We Will."" Hezbollah Strikes Haifa Air Base. Saudi TV: ""Saffiedine Killed in Beirut"""
3,1,,Flood in Bosnia digging in the mud to find the missing: the country is destroyed
4,1,"UK Conservatives Against Starmer: ""He Wants to Abandon the Falkland Islands and Gibraltar""","UK Conservatives Against Starmer: ""He Wants to Abandon the Falkland Islands and Gibraltar"""
5,1,Police Forces in Haiti,Haiti massacre in Pont Sondé: the Gran Grif gang massacres civilians and films itself while killing
6,1,Kamala Harris and her father Donald neighbors but distant. “For her he was absent but not irrelevant”,Kamala Harris and her father Donald neighbors but distant. “For her he was absent but not irrelevant”
7,1,"USA one month before the vote Biden's warning: ""I'm not sure it will be peaceful""","USA one month before the vote Biden's warning: ""I'm not sure it will be peaceful"""
8,1,In the heart of Appalachia where the hills are the border of a drifting America,In the heart of Appalachia where the hills are the border of a drifting America
9,1,Tightening aid to Gaza less and less food and medicines arriving in the Strip,Tightening aid to Gaza less and less food and medicines arriving in the Strip
10,1,"Rome's famous kebab restaurant on the dispute between Germany and Türkiye: ""In Italy there is contamination everyone wants it in their own way""","Rome's famous kebab restaurant on the dispute between Germany and Türkiye: ""In Italy there is contamination everyone wants it in their own way"""
