,image_9961,image_8072,image_6501,image_9007,image_6656,image_8282,image_636,image_7658,image_3887,image_4078,image_1805,image_8852,image_297,image_9997,image_7710
image_9961,4,0,4,0,0,0,0,0,4,4,0,0,3,0,0
image_8072,0,4,0,4,4,4,4,0,0,0,2,4,0,4,0
image_6501,4,0,4,0,0,0,0,0,4,4,0,0,4,0,2
image_9007,0,4,0,4,0,0,4,2,0,0,2,4,0,4,2
image_6656,0,4,0,0,4,0,4,2,0,0,2,4,0,4,2
image_8282,0,4,0,0,0,4,4,2,0,0,2,4,0,4,0
image_636,0,4,0,4,4,4,4,0,0,0,0,4,0,4,0
image_7658,0,0,0,2,2,2,0,4,0,0,0,4,0,4,0
image_3887,4,0,4,0,0,0,0,0,4,0,0,0,2,0,0
image_4078,4,0,4,0,0,0,0,0,0,4,0,0,2,0,0
image_1805,0,2,0,2,2,2,0,0,0,0,4,4,3,4,0
image_8852,0,4,0,4,4,4,4,4,0,0,4,4,0,4,0
image_297,3,0,4,0,0,0,0,0,2,2,3,0,4,2,2
image_9997,0,4,0,4,4,4,4,4,0,0,4,4,2,4,2
image_7710,0,0,2,2,2,0,0,0,0,0,0,0,2,2,4
