image number,alt,article_heading,article_url
image_1_1.jpg,ISRAEL-SYRIA-GOLAN-CONFLICT,Iraqi Militia Drone Attack On Israeli Troops Echoes Tower 22 Incident,https://www.forbes.com/sites/pauliddon/2024/10/05/iraqi-militia-drone-attack-on-israeli-troops-echoes-tower-22-incident/?ss=aerospace-defense
image_2_1.jpg,Rally In Tehran As Khamenei Delivers Sermon And Praises Slain Hezbollah Leader,Iran Refuses To Back Down As Its Proxies Endure Unprecedented Attacks,https://www.forbes.com/sites/pauliddon/2024/10/04/iran-refuses-to-back-down-as-its-proxies-endure-unprecedented-attacks/?ss=aerospace-defense
image_3_1.jpg,Wahid Nawabi by Ethan Pines for Forbes,This U.S. Company Is Cashing In On Ukraine’s War With Killer Drones That Fit In A Backpack,https://www.forbes.com/sites/jeremybogaisky/2024/10/03/aerovironment-russia-ukraine-drones/?ss=aerospace-defense
image_4_1.jpg,Ozmen-cover,How This Immigrant Billionaire Outmaneuvered Boeing To Build America’s Next “Doomsday” Nuclear Planes,https://www.forbes.com/sites/monicahunter-hart/2024/10/01/how-this-immigrant-billionaire-eren-ozmen-snc-outmaneuvered-boeing-to-build-americas-next-doomsday-nuclear-planes/?ss=aerospace-defense
image_5_1.jpg,juliesara.jpeg,How Joe Biden’s Right-To-Strike Support Enabled Flight Attendant Contract Gains,https://www.forbes.com/sites/tedreed/2024/09/17/how-joe-bidens-right-to-strike-support-enabled-flight-attendant-contract-gains/?ss=aerospace-defense
image_6_1.jpg,article image,Americans Shun Flying And Shopping Near Election Day Delta Air Lines Says,https://www.forbes.com/sites/davidhambling/2024/10/11/terrifying-human-safari-in-kherson-as-russian-drones-hunt-civilians/?ss=aerospace-defense
image_7_1.jpg,A wrecked Ukrainian M-2 fighting vehicle south of Veseloe. ,Ukraine’s Best Fighting Vehicles Attacked Past Veseloe In Western Russia—And Got Caught In A Brutal Ambush,https://www.forbes.com/sites/davidaxe/2024/10/10/ukraines-best-fighting-vehicles-attacked-past-veseloe-in-western-russia-and-got-caught-in-a-brutal-ambush/?ss=aerospace-defense
image_8_1.jpg,IRAQ-FRANCE-MILITARY-AVIATION,Iraq Is Substantially Upgrading Its Helicopter Fleet And Air Defense,https://www.forbes.com/sites/pauliddon/2024/10/10/iraq-is-substantially-upgrading-its-helicopter-fleet-and-air-defense/?ss=aerospace-defense
image_9_1.jpg,XTEND DRONE - 2,Teams Of IDF Drones Work Together In Gaza Combat Missions,https://www.forbes.com/sites/davidhambling/2024/10/10/teams-of-idf-drones-work-together-in-gaza-combat-missions/?ss=aerospace-defense
image_10_1.jpg,PHOTO - 2024_SEP SKD Inflight enh 2,U.S. Navy Eternal Drone Signals The Dawn Of Practical Solar Flight,https://www.forbes.com/sites/davidhambling/2024/10/09/us-navy-eternal-drone-could-signal-the-dawn-of-solar-flight/?ss=aerospace-defense
