,image_6899,image_771,image_9407,image_2793,image_5186,image_2244,image_5405,image_4265,image_3230,image_4997,image_8246,image_658,image_8260,image_5216,image_6678,image_1304,image_6325,image_7994,image_607,image_3894,image_1562,image_2376,image_7742
image_6899,4,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_771,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
image_9407,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2793,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5186,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
image_2244,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5405,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4265,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
image_3230,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4997,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8246,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
image_658,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
image_8260,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_5216,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_6678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_6325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
image_3894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_1562,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
image_2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_7742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
