,image_381,image_6543,image_1057,image_4601,image_3963,image_9030,image_50,image_4871,image_7928,image_3327,image_3015,image_4224,image_5915,image_5416
image_381,4,0,0,0,4,0,0,0,0,0,0,0,0,0
image_6543,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_1057,0,0,4,0,0,0,0,4,0,0,0,4,0,0
image_4601,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3963,4,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9030,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_50,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_4871,0,0,4,0,0,0,0,4,0,0,0,0,0,0
image_7928,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_3327,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3015,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_4224,0,0,4,0,0,0,0,0,0,0,0,4,0,0
image_5915,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_5416,0,0,0,0,0,0,0,0,0,0,0,0,0,4
