article_number,image number,alt,article_heading
1,2,gavel,Judge allows lawsuit demanding change to DC police response to mental health calls to move forward
1,3,Police car siren seen in stock image,Judge allows lawsuit demanding change to DC police response to mental health calls to move forward
1,4,Police car,Judge allows lawsuit demanding change to DC police response to mental health calls to move forward
2,1,Disney is not ‘the family park’ anymore: Brian Brenberg,Disney-loving couple spends buckets of money to get back into elite club
2,2,People walk into Disneyland in California,Disney-loving couple spends buckets of money to get back into elite club
2,3,Members of Club 33 dining at the exclusive Disneyland restaurant,Disney-loving couple spends buckets of money to get back into elite club
2,4,A Club 33 Mickey Mouse hat on a table,Disney-loving couple spends buckets of money to get back into elite club
2,5,People walk next to Mickey Mouse along Main Street in Disneyland,Disney-loving couple spends buckets of money to get back into elite club
3,1,Laptop bursts into flames while boarding American Airlines flight passengers evacuated,Former American Airlines mechanic sentenced to prison for smuggling cocaine in compartment under cockpit: feds
3,2,Paul Belloisi has a graying beard and bald head wearing a gray hoodie with his hands in his pockets,Former American Airlines mechanic sentenced to prison for smuggling cocaine in compartment under cockpit: feds
3,3,The inside of a jacket with holes cut into the lining to hide cocaine,Former American Airlines mechanic sentenced to prison for smuggling cocaine in compartment under cockpit: feds
3,4,An American Airlines jet lands at JFK Airport in New York with the skyline in the background,Former American Airlines mechanic sentenced to prison for smuggling cocaine in compartment under cockpit: feds
3,5,A red and black Craftsman brand tool bag,Former American Airlines mechanic sentenced to prison for smuggling cocaine in compartment under cockpit: feds
4,2,Michael Plati,USSS assistant director encouraged to retire over Butler assassination attempt on Trump source reveals
4,3,U.S. Secret Service Acting Director Ronald Rowe,USSS assistant director encouraged to retire over Butler assassination attempt on Trump source reveals
4,4,U.S. Secret Service Director Kimberly Cheatle testifies before the House Oversight and Accountability Committee,USSS assistant director encouraged to retire over Butler assassination attempt on Trump source reveals
5,2,Gavel in court room,Chicago man wrongfully convicted for murder awarded $50M after suing city police detectives
5,3,Jail cell,Chicago man wrongfully convicted for murder awarded $50M after suing city police detectives
5,4,Chicago Police,Chicago man wrongfully convicted for murder awarded $50M after suing city police detectives
6,1,White House National Security Council communications adviser John Kirby defends the withdrawal from Afghanistan,White House pushes back against scathing report on Biden's withdrawal from Afghanistan
6,2,US soldiers Abbey Gate Afghanistan,White House pushes back against scathing report on Biden's withdrawal from Afghanistan
6,3,Kirby at White House podium,White House pushes back against scathing report on Biden's withdrawal from Afghanistan
6,4,Marines help baby Abbey Gate Afghanistan,White House pushes back against scathing report on Biden's withdrawal from Afghanistan
6,5,Afghanistan withdrawal,White House pushes back against scathing report on Biden's withdrawal from Afghanistan
7,1,75% of arrests in midtown Manhattan are migrant suspects: report,Migrant controversy hits heartland as Alabama council meeting boils over state officials slam feds' 'mess'
7,2,,Migrant controversy hits heartland as Alabama council meeting boils over state officials slam feds' 'mess'
7,3,Alabama Gov. Kay Ivey speaks to supporters,Migrant controversy hits heartland as Alabama council meeting boils over state officials slam feds' 'mess'
7,4,Arizona-Immigrants-December-2023,Migrant controversy hits heartland as Alabama council meeting boils over state officials slam feds' 'mess'
8,1,Tim Walz hits Trump Vance on Project 2025: Im ready to turn the page on these guys,Liberal think tank's deep ties to Biden admin far-left policies could come back to haunt Harris campaign
8,2,Neera Tanden appears before a Senate Committee on the Budget hearing on Capitol Hill on Feb. 10 2021.,Liberal think tank's deep ties to Biden admin far-left policies could come back to haunt Harris campaign
8,3,"White House clean energy czar John Podesta left was appointed to ""continue to lead our global climate efforts"" White House National Security Advisor Jake Sullivan said. Podesta effectively replaces Special Presidential Envoy for Climate John Kerry right.",Liberal think tank's deep ties to Biden admin far-left policies could come back to haunt Harris campaign
8,4,Biden during investment announcement,Liberal think tank's deep ties to Biden admin far-left policies could come back to haunt Harris campaign
8,5,Kamala Harris,Liberal think tank's deep ties to Biden admin far-left policies could come back to haunt Harris campaign
8,6,Trump speaks at press conference,Liberal think tank's deep ties to Biden admin far-left policies could come back to haunt Harris campaign
9,1,Kayleigh McEnany: Kamala Harris must separate herself from Joe Biden,Biden has signed just 2 executive orders since dropping out of 2024 race trailing past presidents
9,2,Biden leaves church,Biden has signed just 2 executive orders since dropping out of 2024 race trailing past presidents
9,3,Trump at Wisconsin rally ,Biden has signed just 2 executive orders since dropping out of 2024 race trailing past presidents
9,4,Biden at Michigan signing,Biden has signed just 2 executive orders since dropping out of 2024 race trailing past presidents
